N, Search Ops, Balance Ops
1, 0, 0
2, 1, 0
3, 3, 1
4, 5, 1
5, 7, 1
6, 10, 3
7, 13, 3
8, 16, 5
9, 19, 5
10, 22, 5
11, 26, 7
12, 29, 7
13, 33, 7
14, 36, 7
15, 39, 7
16, 44, 9
17, 48, 9
18, 52, 11
19, 56, 11
20, 61, 12
21, 66, 14
22, 71, 14
23, 74, 14
24, 79, 14
25, 84, 16
26, 88, 16
27, 94, 18
28, 99, 18
29, 104, 20
30, 109, 20
31, 115, 21
32, 120, 22
33, 126, 24
34, 131, 24
35, 136, 24
36, 142, 25
37, 147, 27
38, 152, 27
39, 158, 27
40, 163, 28
41, 168, 30
42, 173, 30
43, 179, 31
44, 185, 31
45, 191, 31
46, 196, 31
47, 201, 32
48, 207, 34
49, 212, 34
50, 219, 36
51, 225, 36
52, 231, 37
53, 237, 39
54, 242, 39
55, 248, 40
56, 255, 42
57, 261, 42
58, 267, 44
59, 273, 44
60, 278, 45
61, 283, 45
62, 289, 46
63, 295, 46
64, 302, 48
65, 308, 48
66, 314, 48
67, 319, 48
68, 326, 49
69, 331, 49
70, 333, 49
71, 339, 49
72, 344, 49
73, 350, 49
74, 357, 50
75, 364, 51
76, 370, 51
77, 377, 52
78, 384, 53
79, 391, 54
80, 397, 54
81, 404, 56
82, 410, 56
83, 416, 56
84, 423, 56
85, 430, 56
86, 437, 58
87, 444, 59
88, 451, 59
89, 458, 59
90, 464, 59
91, 470, 59
92, 477, 59
93, 484, 59
94, 489, 59
95, 496, 61
96, 503, 61
97, 509, 63
98, 516, 63
99, 523, 63
100, 530, 63
101, 537, 63
102, 543, 65
103, 550, 66
104, 557, 68
105, 565, 70
106, 572, 70
107, 579, 70
108, 587, 71
109, 595, 73
110, 602, 75
111, 609, 75
112, 616, 75
113, 621, 75
114, 629, 76
115, 635, 76
116, 642, 76
117, 650, 78
118, 658, 80
119, 665, 80
120, 671, 80
121, 678, 80
122, 685, 80
123, 693, 82
124, 699, 84
125, 707, 86
126, 714, 86
127, 722, 87
128, 727, 87
129, 733, 87
130, 740, 87
131, 747, 87
132, 755, 88
133, 761, 88
134, 767, 88
135, 773, 88
136, 778, 88
137, 784, 88
138, 790, 88
139, 797, 90
140, 803, 90
141, 811, 91
142, 818, 93
143, 824, 93
144, 831, 95
145, 839, 95
146, 846, 97
147, 854, 97
148, 861, 97
149, 866, 97
150, 872, 97
151, 880, 99
152, 888, 100
153, 895, 100
154, 902, 100
155, 910, 102
156, 917, 102
157, 925, 102
158, 932, 104
159, 939, 104
160, 946, 104
161, 953, 104
162, 961, 105
163, 968, 107
164, 974, 107
165, 982, 108
166, 988, 108
167, 996, 108
168, 1003, 110
169, 1011, 111
170, 1019, 111
171, 1027, 111
172, 1034, 111
173, 1042, 111
174, 1048, 111
175, 1054, 111
176, 1061, 111
177, 1069, 113
178, 1076, 113
179, 1085, 115
180, 1093, 116
181, 1101, 116
182, 1110, 118
183, 1115, 118
184, 1123, 118
185, 1131, 119
186, 1139, 119
187, 1147, 121
188, 1154, 121
189, 1161, 121
190, 1169, 121
191, 1174, 121
192, 1181, 121
193, 1188, 122
194, 1196, 123
195, 1205, 125
196, 1213, 125
197, 1219, 125
198, 1225, 125
199, 1232, 125
200, 1240, 127
201, 1248, 127
202, 1256, 127
203, 1263, 128
204, 1270, 128
205, 1278, 130
206, 1285, 131
207, 1292, 131
208, 1299, 131
209, 1303, 131
210, 1307, 131
211, 1315, 133
212, 1323, 133
213, 1330, 135
214, 1339, 137
215, 1346, 138
216, 1355, 140
217, 1362, 140
218, 1371, 142
219, 1378, 142
220, 1386, 142
221, 1391, 142
222, 1398, 144
223, 1406, 145
224, 1413, 145
225, 1418, 145
226, 1426, 145
227, 1434, 145
228, 1441, 145
229, 1449, 145
230, 1457, 145
231, 1466, 147
232, 1472, 147
233, 1478, 147
234, 1485, 147
235, 1492, 147
236, 1500, 148
237, 1508, 149
238, 1514, 149
239, 1523, 151
240, 1531, 152
241, 1539, 154
242, 1547, 154
243, 1555, 154
244, 1562, 154
245, 1568, 154
246, 1576, 154
247, 1583, 154
248, 1592, 156
249, 1593, 156
250, 1600, 156
251, 1607, 156
252, 1616, 158
253, 1623, 158
254, 1631, 159
255, 1640, 159
256, 1648, 161
257, 1656, 163
258, 1664, 163
259, 1673, 165
260, 1681, 165
261, 1690, 167
262, 1697, 167
263, 1705, 167
264, 1712, 167
265, 1719, 167
266, 1725, 167
267, 1733, 167
268, 1740, 167
269, 1748, 167
270, 1757, 168
271, 1765, 168
272, 1774, 170
273, 1782, 170
274, 1790, 171
275, 1798, 173
276, 1807, 175
277, 1817, 177
278, 1825, 178
279, 1831, 178
280, 1839, 178
281, 1846, 178
282, 1854, 178
283, 1863, 180
284, 1870, 180
285, 1878, 180
286, 1887, 182
287, 1895, 182
288, 1903, 182
289, 1912, 183
290, 1920, 185
291, 1928, 185
292, 1936, 185
293, 1944, 185
294, 1953, 187
295, 1961, 187
296, 1970, 187
297, 1978, 189
298, 1986, 189
299, 1995, 190
300, 2002, 190
301, 2011, 190
302, 2019, 192
303, 2027, 192
304, 2034, 192
305, 2042, 192
306, 2051, 193
307, 2059, 193
308, 2068, 195
309, 2076, 195
310, 2083, 195
311, 2091, 195
312, 2100, 196
313, 2105, 196
314, 2113, 196
315, 2121, 197
316, 2129, 197
317, 2132, 197
318, 2139, 199
319, 2142, 199
320, 2151, 201
321, 2159, 201
322, 2167, 201
323, 2175, 201
324, 2184, 201
325, 2190, 201
326, 2198, 201
327, 2204, 201
328, 2213, 203
329, 2222, 203
330, 2231, 203
331, 2241, 204
